country,f1,h1b,Total
Bolivia,373,89,"12,064"
Brazil,"15,506","1,583","1,049,689"
Chile,"1,565",209,"70,281"
Colombia,"5,905",904,"337,336"
Ecuador,"1,182",218,"95,063"
Guyana,75,26,"14,306"
Paraguay,238,26,"8,778"
Peru,"1,071",376,"75,701"
Suriname,35,6,"4,489"
Uruguay,130,64,"19,622"
Venezuela,"4,948",847,"228,207"
